id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time
Packomania 1/2 (410),410,320.6676396,81308554,2.22E-18,0,0s:81ms
Packomania 1/2 (415),415,323.4776434,82343832,2.26E-18,0,0s:82ms
Packomania 1/2 (420),420,327.0737374,86792049,2.54E-18,0,0s:86ms
Packomania 1/2 (425),425,333.1675337,85843586,2.53E-18,0,0s:85ms
Packomania 1/2 (430),430,335.4957382,83038535,2.61E-18,0,0s:83ms
Packomania 1/2 (435),435,339.5329845,92993333,3.24E-18,0,0s:92ms
Packomania 1/2 (440),440,342.7604707,94842089,3.25E-18,0,0s:94ms
Packomania 1/2 (445),445,346.1088676,92390232,3.15E-18,0,0s:92ms
Packomania 1/2 (450),450,350.8373936,92507269,3.24E-18,0,0s:92ms
Packomania 1/2 (455),455,354.4617437,92898188,2.98E-18,0,0s:92ms
Packomania 1/2 (460),460,357.7972301,94902703,3.37E-18,0,0s:94ms
Packomania 1/2 (465),465,362.1526092,100301482,3.59E-18,0,0s:100ms
Packomania 1/2 (470),470,366.4407143,103314176,3.09E-18,0,0s:103ms
Packomania 1/2 (475),475,369.4044264,101491368,3.49E-18,0,0s:101ms
Packomania 1/2 (480),480,373.6747202,102958360,3.90E-18,0,0s:102ms
Packomania 1/2 (485),485,377.4925095,102923419,3.82E-18,0,0s:102ms
Packomania 1/2 (490),490,382.1702947,103415388,3.39E-18,0,0s:103ms
Packomania 1/2 (495),495,385.9004623,109571063,4.40E-18,0,0s:109ms
Packomania 1/2 (500),500,388.6269025,111975825,4.12E-18,0,0s:111ms
Packomania 1/2 (510),510,397.4158857,111591399,4.46E-18,0,0s:111ms
Packomania 1/2 (520),520,405.3783735,121499008,5.09E-18,0,0s:121ms
Packomania 1/2 (530),530,413.0394354,120494133,4.54E-18,0,0s:120ms
Packomania 1/2 (540),540,419.465747,129738595,5.92E-18,0,0s:129ms
Packomania 1/2 (550),550,427.9764321,131518852,4.68E-18,0,0s:131ms
Packomania 1/2 (560),560,435.3921165,131837195,6.05E-18,0,0s:131ms
Packomania 1/2 (570),570,444.0256876,135331427,5.79E-18,0,0s:135ms
Packomania 1/2 (580),580,451.2569651,140212573,6.86E-18,0,0s:140ms
Packomania 1/2 (590),590,457.4949866,138916537,6.22E-18,0,0s:138ms
Packomania 1/2 (600),600,466.4985543,154476013,6.12E-18,0,0s:154ms
Packomania 1/2 (610),610,473.0908132,153024534,6.10E-18,0,0s:153ms
Packomania 1/2 (620),620,481.2584853,154672901,6.81E-18,0,0s:154ms
Packomania 1/2 (630),630,489.7126498,158540765,7.66E-18,0,0s:158ms
Packomania 1/2 (640),640,497.0666802,160833900,7.29E-18,0,0s:160ms
Packomania 1/2 (650),650,504.0676938,169236290,7.92E-18,0,0s:169ms
Packomania 1/2 (660),660,511.6301012,171669231,7.63E-18,0,0s:171ms
Packomania 1/2 (670),670,521.5962752,173547988,8.28E-18,0,0s:173ms
Packomania 1/2 (680),680,528.8311877,187560486,8.46E-18,0,0s:187ms
Packomania 1/2 (690),690,535.2035056,180387382,9.73E-18,0,0s:180ms
Packomania 1/2 (700),700,542.8952149,184804381,8.04E-18,0,0s:184ms
Packomania 1/2 (710),710,551.0170143,190464020,1.01E-17,0,0s:190ms
Packomania 1/2 (720),720,558.1588392,198638620,1.05E-17,0,0s:198ms
Packomania 1/2 (730),730,567.4901584,196576869,9.77E-18,0,0s:196ms
Packomania 1/2 (740),740,573.276518,203859958,1.23E-17,0,0s:203ms
Packomania 1/2 (750),750,581.2298345,204748798,1.20E-17,0,0s:204ms
Packomania 1/2 (760),760,589.8934426,216726800,1.39E-17,0,0s:216ms
Packomania 1/2 (770),770,597.0198136,222512318,1.40E-17,0,0s:222ms
Packomania 1/2 (780),780,603.3958875,225694949,1.32E-17,0,0s:225ms
Packomania 1/2 (790),790,611.1325072,220771027,1.28E-17,0,0s:220ms
Packomania 1/2 (800),800,620.0827022,233888146,1.54E-17,0,0s:233ms
Packomania 1/2 (810),810,626.0777735,238454376,1.44E-17,0,0s:238ms
Packomania 1/2 (820),820,634.6977106,241652848,1.64E-17,0,0s:241ms
Packomania 1/2 (830),830,641.9483441,243700207,1.59E-17,0,0s:243ms
Packomania 1/2 (840),840,651.1008618,249337613,1.86E-17,0,0s:249ms
Packomania 1/2 (850),850,658.3912185,261652855,1.63E-17,0,0s:261ms
Packomania 1/2 (860),860,665.2911313,258560434,1.59E-17,0,0s:258ms
Packomania 1/2 (870),870,674.2433128,261458062,2.05E-17,0,0s:261ms
Packomania 1/2 (880),880,682.0472412,266631212,2.02E-17,0,0s:266ms
Packomania 1/2 (890),890,688.9082822,268194840,1.93E-17,0,0s:268ms
Packomania 1/2 (900),900,696.3261205,276709390,2.05E-17,0,0s:276ms
Packomania 1/2 (910),910,704.5445243,287660775,2.30E-17,0,0s:287ms
Packomania 1/2 (920),920,711.0677811,280781567,2.00E-17,0,0s:280ms
Packomania 1/2 (930),930,719.4813428,296662106,2.16E-17,0,0s:296ms
Packomania 1/2 (940),940,727.8502734,296469442,2.19E-17,0,0s:296ms
Packomania 1/2 (950),950,735.2618414,316188855,2.29E-17,0,0s:316ms
Packomania 1/2 (960),960,743.0925736,312503306,2.40E-17,0,0s:312ms
Packomania 1/2 (970),970,749.4519742,309898332,2.17E-17,0,0s:309ms
Packomania 1/2 (980),980,757.0076874,330076755,2.72E-17,0,0s:330ms
Packomania 1/2 (990),990,767.011709,330279131,2.59E-17,0,0s:330ms
Packomania 1/2 (1000),1000,774.0131872,339832898,2.72E-17,0,0s:339ms
Packomania 1/2 (1100),1100,849.6728853,385873377,3.23E-17,0,0s:385ms
Packomania 1/2 (1200),1200,926.1796164,448673021,4.35E-17,0,0s:448ms
Packomania 1/2 (1300),1300,1001.604293,509208033,5.46E-17,0,0s:509ms
Packomania 1/2 (1400),1400,1079.798785,562801886,6.69E-17,0,0s:562ms
Packomania 1/2 (1500),1500,1156.055812,631406084,8.82E-17,0,0s:631ms
Packomania 1/2 (1600),1600,1233.213828,705070069,9.67E-17,0,0s:705ms
Packomania 1/2 (1700),1700,1309.750398,768281616,1.20E-16,0,0s:768ms
Packomania 1/2 (1800),1800,1386.13319,824006789,1.34E-16,0,0s:824ms
Packomania 1/2 (1900),1900,1462.807238,888916105,1.54E-16,0,0s:888ms
Packomania 1/2 (2000),2000,1539.951867,1015547438,1.79E-16,0,1s:15ms
Packomania 1/2 (3000),3000,2303.207787,1810276837,4.22E-16,0,1s:810ms
Packomania 1/2 (4000),4000,3066.965929,2816224316,1.11E-15,0,2s:816ms
Packomania 1/2 (5000),5000,3830.949569,3968663910,1.90E-15,0,3s:968ms
Packomania 1/2 (6000),6000,4595.507795,5210280148,336.1716726,0,5s:210ms
Packomania 1/2 (7000),7000,5358.723848,6511908847,585.3556305,0,6s:511ms
Packomania 1/2 (8000),8000,6116.413934,7726260057,7.83E-15,0,7s:726ms
Packomania 1/2 (9000),9000,6874.532534,9550787695,0.1235373296,0,9s:550ms
Packomania 1/2 (10000),10000,7646.122416,11589468704,1.454465798,0,11s:589ms
Packomania 1/2 (11000),11000,8398.61771,13231201922,1.64E-14,0,13s:231ms
Packomania 1/2 (12000),12000,9164.900313,14473647682,2267.23912,0,14s:473ms
Packomania 1/2 (13000),13000,9928.581657,16154707432,2.543904356,0,16s:154ms
Packomania 1/2 (14000),14000,10694.5632,18090964586,3.48E-14,0,18s:90ms
Packomania -1/2 (100),100,2.495438263,11175322,8.96E-23,0,0s:11ms
Packomania -1/2 (105),105,2.499360942,12161579,1.34E-22,0,0s:12ms
Packomania -1/2 (110),110,2.513162793,13529272,1.37E-22,0,0s:13ms
Packomania -1/2 (115),115,2.52271652,14505884,1.16E-22,0,0s:14ms
Packomania -1/2 (120),120,2.519333511,14663433,1.26E-22,0,0s:14ms
Packomania -1/2 (125),125,2.530049414,15858123,1.33E-22,0,0s:15ms
Packomania -1/2 (130),130,2.537275506,17682532,1.37E-22,0,0s:17ms
Packomania -1/2 (135),135,2.54221123,18314544,1.33E-22,0,0s:18ms
Packomania -1/2 (140),140,2.541681673,19963453,1.17E-22,0,0s:19ms
Packomania -1/2 (145),145,2.552094748,20566513,1.59E-22,0,0s:20ms
Packomania -1/2 (150),150,2.563247662,23098371,1.38E-22,0,0s:23ms
Packomania -1/2 (155),155,2.572146226,24110671,1.29E-22,0,0s:24ms
Packomania -1/2 (160),160,2.572254276,24676951,1.70E-22,0,0s:24ms
Packomania -1/2 (165),165,2.57703255,26119112,1.45E-22,0,0s:26ms
Packomania -1/2 (170),170,2.588958868,26997418,1.51E-22,0,0s:26ms
Packomania -1/2 (175),175,2.595022606,29219222,1.27E-22,0,0s:29ms
Packomania -1/2 (180),180,2.600002886,31901121,1.71E-22,0,0s:31ms
Packomania -1/2 (185),185,2.607380598,31463525,1.50E-22,0,0s:31ms
Packomania -1/2 (190),190,2.606106658,32198170,1.43E-22,0,0s:32ms
Packomania -1/2 (195),195,2.612761394,34846425,1.69E-22,0,0s:34ms
Packomania -1/2 (200),200,2.620783276,36153704,1.67E-22,0,0s:36ms
Packomania -1/2 (205),205,2.623160579,38003749,1.42E-22,0,0s:38ms
Packomania -1/2 (210),210,2.623472195,38097119,1.64E-22,0,0s:38ms
Packomania -1/2 (215),215,2.627010319,40708330,1.91E-22,0,0s:40ms
Packomania -1/2 (220),220,2.635423298,42248279,1.86E-22,0,0s:42ms
Packomania -1/2 (225),225,2.635423298,43199470,1.89E-22,0,0s:43ms
Packomania -1/2 (230),230,2.644770375,46899982,2.10E-22,0,0s:46ms
Packomania -1/2 (235),235,2.644540893,46003804,1.72E-22,0,0s:46ms
Packomania -1/2 (240),240,2.647448031,49744104,1.56E-22,0,0s:49ms
Packomania -1/2 (245),245,2.647729567,51392580,2.01E-22,0,0s:51ms
Packomania -1/2 (250),250,2.654873861,51453639,1.68E-22,0,0s:51ms
Packomania -1/2 (255),255,2.66348367,54511480,1.89E-22,0,0s:54ms
Packomania -1/2 (260),260,2.658665196,57204638,2.02E-22,0,0s:57ms
Packomania -1/2 (265),265,2.661083072,56124382,2.05E-22,0,0s:56ms
Packomania -1/2 (270),270,2.665709014,59025531,2.20E-22,0,0s:59ms
Packomania -1/2 (275),275,2.670428059,64715534,2.03E-22,0,0s:64ms
Packomania -1/2 (280),280,2.670428059,61801060,2.16E-22,0,0s:61ms
Packomania -1/2 (285),285,2.680703996,64405061,2.03E-22,0,0s:64ms
Packomania -1/2 (290),290,2.683250739,67436634,2.26E-22,0,0s:67ms
Packomania -1/2 (295),295,2.684480436,68008212,1.61E-22,0,0s:68ms
Packomania -1/2 (300),300,2.694853704,69201152,2.00E-22,0,0s:69ms
Packomania -1/2 (305),305,2.694849358,71768882,2.14E-22,0,0s:71ms
Packomania -1/2 (310),310,2.698284913,74343671,2.15E-22,0,0s:74ms
Packomania -1/2 (315),315,2.699941274,75144633,2.02E-22,0,0s:75ms
Packomania -1/2 (320),320,2.702409779,79800536,2.26E-22,0,0s:79ms
